Model,Make,Model,Vehicle Class,Engine Size,Cylinders,Transmission,Fuel,City rate,Hwy rate,Combined rate,premium_mpg,CO2 Emissions
2021,Ford,Bronco Sasquatch 4WD,SUV: Small,2.7,6,AS10,X,53,53,53,20,523
2021,Ford,Bronco Sport 4WD,SUV: Small,1.5,3,A8,X,35,31,34,32,334
2021,Ford,Bronco Sport 4WD,SUV: Small,2,4,AS8,X,42,34,38,28,381
2021,Ford,EcoSport,SUV: Small,1,3,AS6,X,33,31,32,34,315
2021,Ford,EcoSport AWD,SUV: Small,2,4,AS6,X,39,30,35,31,347
2021,Ford,Edge,SUV: Small,2,4,A8,X,42,31,37,29,366
2021,Ford,Edge AWD,SUV: Small,2,4,A8,X,44,31,38,28,378
2021,Ford,Edge AWD,SUV: Small,2,4,AS8,X,44,31,38,28,379
2021,Ford,Edge AWD,SUV: Small,2.7,6,AS8,X,48,35,42,25,419
2021,Ford,Escape,SUV: Small,1.5,3,A8,X,32,26,30,36,291
2021,Ford,Escape AWD,SUV: Small,1.5,3,A8,X,34,29,32,34,317
2021,Ford,Escape AWD,SUV: Small,2,4,A8,X,39,28,34,31,341
2021,Ford,Escape Hybrid,SUV: Small,2.5,4,AV,X,20,24,22,49,218
2021,Ford,Escape Hybrid AWD,SUV: Small,2.5,4,AV,X,21,24,22,48,222
2021,Ford,Expedition 4X4,SUV: Standard,3.5,6,AS10,X,53,40,48,22,472
2021,Ford,Expedition MAX 4X4,SUV: Standard,3.5,6,AS10,X,56,42,50,22,493
